Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 2820----------------------------------------
0.445702;0.0645019;-0.985098
0.445702;0.0646019;-0.98508
0.445702;0.0646019;-0.98508
0.445702;0.0646019;-0.98508
0.445702;0.0647019;-0.985062
0.445702;0.0647019;-0.985062
0.445702;0.0647019;-0.985062
0.445702;0.0648019;-0.985045
0.445702;0.0648019;-0.985045
0.445702;0.0648019;-0.985045
0.445702;0.0649019;-0.985027
0.445702;0.0649019;-0.985027
0.445702;0.0649019;-0.985027
0.445702;0.0650019;-0.985009
0.445702;0.0650019;-0.985009
0.445702;0.0650019;-0.985009
0.445702;0.0651019;-0.984992
0.445702;0.0651019;-0.984992
0.445702;0.0651019;-0.984992
0.445702;0.0652019;-0.984974
0.445702;0.0652019;-0.984974
0.445702;0.0652019;-0.984974
0.445702;0.0653019;-0.984956
0.445702;0.0653019;-0.984956
0.445702;0.0653019;-0.984956
0.445702;0.0654019;-0.984939
0.445702;0.0654019;-0.984939
0.445702;0.0654019;-0.984939
0.445702;0.0655019;-0.98495
0.445702;0.0655019;-0.98495
0.445702;0.0655019;-0.98495
0.445702;0.0656019;-0.984931
0.445702;0.0656019;-0.984931
0.445702;0.0656019;-0.984931
0.445702;0.0657019;-0.984912
0.445702;0.0657019;-0.984912
0.445702;0.0657019;-0.984912
0.445702;0.0658019;-0.984894
0.445702;0.0658019;-0.984894
0.445702;0.0658019;-0.984894
0.445702;0.0659019;-0.984875
0.445702;0.0659019;-0.984875
0.445702;0.0659019;-0.984875
0.445702;0.0660019;-0.984857
0.445702;0.0660019;-0.984857
0.445702;0.0660019;-0.984857
0.445702;0.0661019;-0.984838
0.445702;0.0661019;-0.984838
0.445702;0.0661019;-0.984838
0.445702;0.0662019;-0.984819
0.445702;0.0662019;-0.984819
0.445702;0.0662019;-0.984819
0.445702;0.0663019;-0.984801
0.445702;0.0663019;-0.984801
0.445702;0.0663019;-0.984801
0.445702;0.0664019;-0.984782
0.445702;0.0664019;-0.984782
0.445702;0.0664019;-0.984782
0.445702;0.0665018;-0.984764
0.445702;0.0665018;-0.984764
0.445702;0.0665018;-0.984764
0.445702;0.0666019;-0.984745
0.445702;0.0666019;-0.984745
0.445702;0.0666019;-0.984745
0.445702;0.0667019;-0.984727
0.445702;0.0667019;-0.984727
0.445702;0.0667019;-0.984727
0.445702;0.0668019;-0.984708
0.445702;0.0668019;-0.984708
0.445702;0.0668019;-0.984708
0.445702;0.0669019;-0.984689
0.445702;0.0669019;-0.984689
0.445702;0.0669019;-0.984689
0.445702;0.0670019;-0.984671
0.445702;0.0670019;-0.984671
0.445702;0.0670019;-0.984671
0.445702;0.0671019;-0.984652
0.445702;0.0671019;-0.984652
0.445702;0.0671019;-0.984652
0.445702;0.0672019;-0.984634
0.445702;0.0672019;-0.984634
0.445702;0.0672019;-0.984634
0.445702;0.0673019;-0.984615
0.445702;0.0673019;-0.984615
0.445702;0.0673019;-0.984615
0.445702;0.0674019;-0.984596
0.445702;0.0674019;-0.984596
0.445702;0.0674019;-0.984596
0.445702;0.0675019;-0.984578
0.445702;0.0675019;-0.984578
0.445702;0.0675019;-0.984578
0.445702;0.0676019;-0.984559
0.445702;0.0676019;-0.984559
0.445702;0.0676019;-0.984559
0.445702;0.0677019;-0.984541
0.445702;0.0677019;-0.984541
0.445702;0.0677019;-0.984541
0.445702;0.0678019;-0.984522
0.445702;0.0678019;-0.984522
0.445702;0.0678019;-0.984522
0.445702;0.0679019;-0.984503
0.445702;0.0679019;-0.984503
0.445702;0.0679019;-0.984503
0.445702;0.0680019;-0.984485
0.445702;0.0680019;-0.984485
0.445702;0.0680019;-0.984485
0.445702;0.0681019;-0.984462
0.445702;0.0681019;-0.984462
0.445702;0.0681019;-0.984462
0.445702;0.0682019;-0.984444
0.445702;0.0682019;-0.984444
0.445702;0.0682019;-0.984444
0.445702;0.0683019;-0.984426
0.445702;0.0683019;-0.984426
0.445702;0.0683019;-0.984426
0.445702;0.0684019;-0.984409
0.445702;0.0684019;-0.984409
0.445702;0.0684019;-0.984409
