Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 688----------------------------------------
0.299977;-0.0839023;-1.15372
0.299977;-0.0838023;-1.15372
0.299977;-0.0837023;-1.15371
0.299977;-0.0836023;-1.15371
0.299977;-0.0835023;-1.1537
0.299977;-0.0834023;-1.1537
0.299977;-0.0833023;-1.15369
0.299977;-0.0832023;-1.15368
0.299977;-0.0831023;-1.15368
0.299977;-0.0830024;-1.15357
0.299977;-0.0829024;-1.15356
0.299977;-0.0828024;-1.15396
0.299977;-0.0827024;-1.15395
0.299977;-0.0826024;-1.15394
0.299977;-0.0825024;-1.15393
0.299977;-0.0824023;-1.15392
0.299977;-0.0823023;-1.15392
0.299977;-0.0822023;-1.15391
0.299977;-0.0821023;-1.1539
0.299977;-0.0820023;-1.15389
0.299977;-0.0819023;-1.15388
0.299977;-0.0818023;-1.15387
0.299977;-0.0817023;-1.15387
0.299977;-0.0816023;-1.15386
0.299977;-0.0815023;-1.15385
0.299977;-0.0814023;-1.15384
0.299977;-0.0813023;-1.15383
0.299977;-0.0812023;-1.15382
0.299977;-0.0811023;-1.15382
0.299977;-0.0810024;-1.15313
0.299977;-0.0809024;-1.15312
0.299977;-0.0808024;-1.15305
0.299977;-0.0807023;-1.15305
0.299977;-0.0806023;-1.15305
0.299977;-0.0805023;-1.15305
0.299977;-0.0804023;-1.15305
0.299977;-0.0803023;-1.15305
0.299977;-0.0802023;-1.15304
0.299977;-0.0801023;-1.15304
0.299977;-0.0800023;-1.15304
0.299977;-0.0799023;-1.15304
0.299977;-0.0798023;-1.15304
0.299977;-0.0797023;-1.15304
0.299977;-0.0796023;-1.15304
0.299977;-0.0795023;-1.15304
